# 大学英语四级词库 · 来源 KyleBing/english-vocabulary（MIT）
# 格式：单词,释义
cloak,n. 斗篷；覆盖（物）
clock,n. 钟，仪表
close,v. 关，闭；结束
closely,adv. 紧密地；接近地
cloth,n. 布；衣料；桌布
clothe,v. 给…穿衣服
clothes,n. 衣服，服装
clothing,n. 衣服
cloud,n. 云；云状物；阴影
cloudy,adj. 多云的；云一般的
club,n. 〔职业体育的〕俱乐部；俱乐部；夜总会
clue,n. 线索
clumsy,adj. 笨拙的，不圆滑的
coach,n. 教练 v. 当…的教练，训练，培训
coal,n. 煤；煤块
coarse,adj. 粗的，粗糙的
coast,n. 海岸，海滨（地区）
coat,n. 外套，上衣；皮毛
cock,n. 公鸡；雄禽；旋塞
code,n. 代码，密码
coffee,n. 咖啡，咖啡茶
coil,n. （一）卷；线圈 v. 卷
coin,n. 硬币 v. 铸造（硬币）
cold,adj. 冷的；冷淡的 n. 冷
collaborative,adj. 合作的， 协作的， 协力完成的
collapse,v. 倒坍；崩溃，瓦解
collar,n. 衣领；项圈
colleague,n. 同事
collect,v. 收集；收款
collection,n. 收藏品；搜集，收集
collective,adj. 集体的；集合性的
college,n. 学院；大学
collision,n. 冲突，抵触
colonel,n. 陆军上校；中校
colony,n. 殖民地；侨居地
color,n. 颜色，彩色；颜料
column,n. 专栏
comb,n. 梳子 v. 梳理
combat,n. 战争，斗争，格斗 vt. 与…斗争， 与…战斗
combination,n. 联合，结合
combine,v. 联合，结合
come,v. 来，来到；出现
comedy,n. 喜剧， 喜剧性
